session,model,qid,run,chars,A,B,C,D,E,total_15,confirmed_error_flag,unverified_flag,vendor_mix_flag,risky_flag,over_limit,excluded_flag,contradicted_flag,review_recommended,key_evidence,A_reason,B_reason,C_reason,D_reason,E_reason,source_file
0920-1516,gemma3:4b,q06,2,3436,2,1,3,1,1,8,,Y,,Y,Y,,,Y,"미확인 명령: clock set, ping <NTP 서버 IP 주소>, show ntp statistics; 3436자>3000","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: clock set, ping <NTP 서버 IP 주소>, show ntp statistics; 3436자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [미확인 명령: clock set, ping <NTP 서버 IP 주소>, show ntp statistics; 3436자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [미확인 명령: clock set, ping <NTP 서버 IP 주소>, show ntp statistics; 3436자>3000]",responses_v3/0920-1516_q06_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q06,1,1569,1,0,3,2,3,9,Y,Y,,,,,,,확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet],미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet],responses_v3/0920-1516_q06_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q06,2,1752,1,0,3,2,3,9,Y,Y,,,,,,,확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet],미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show ntp peers(wrong); 미확인 명령: debug ntp packet],responses_v3/0920-1516_q06_llama3.1_8b_run2.md
0920-1545,luna,q06,1,2325,2,3,3,3,0,11,,Y,,Y,,,,Y,"미확인 명령: clock summer-time, clock timezone, ntp server; 토큰한도 종료","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: clock summer-time, clock timezone, ntp server; 토큰한도 종료]",불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: clock summer-time, clock timezone, ntp server; 토큰한도 종료]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: clock summer-time, clock timezone, ntp server; 토큰한도 종료]",responses_luna_v2/0920-1545_q06_luna_run1.md
0920-1516,qwen3:8b,q06,1,1730,1,0,3,2,3,9,Y,Y,,,,,,Y,"확인오류: show ntp peers(wrong); 미확인 명령: clock datetime, clock summer-time, clock timezone","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show ntp peers(wrong); 미확인 명령: clock datetime, clock summer-time, clock timezone]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [확인오류: show ntp peers(wrong); 미확인 명령: clock datetime, clock summer-time, clock timezone]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show ntp peers(wrong); 미확인 명령: clock datetime, clock summer-time, clock timezone]",responses_v3/0920-1516_q06_qwen3_8b_run1.md
0920-1516,qwen3:8b,q06,2,1740,2,1,3,3,3,12,,Y,,,,,,Y,"미확인 명령: clock summer-time, clock timezone, debug ntp","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: clock summer-time, clock timezone, debug ntp]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: clock summer-time, clock timezone, debug ntp]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: clock summer-time, clock timezone, debug ntp]",responses_v3/0920-1516_q06_qwen3_8b_run2.md
0920-1516,gemma3:4b,q07,1,3315,1,0,2,0,1,4,Y,Y,,,Y,Y,,Y,"확인오류: show ha session(wrong); 미확인 명령: show bgp neighbors, show bgp summary, show cpu utilization; 배제 단서 재사용; 3315자>3000","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show ha session(wrong); 미확인 명령: show bgp neighbors, show bgp summary, show cpu utilization; 배제 단서 재사용; 3315자>3000]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"핵심 단서를 무시하거나 배제/모순 원인을 첫 조치·주요 결론으로 둠. [확인오류: show ha session(wrong); 미확인 명령: show bgp neighbors, show bgp summary, show cpu utilization; 배제 단서 재사용; 3315자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [확인오류: show ha session(wrong); 미확인 명령: show bgp neighbors, show bgp summary, show cpu utilization; 배제 단서 재사용; 3315자>3000]",responses_v3/0920-1516_q07_gemma3_4b_run1.md
0920-1516,gemma3:4b,q07,2,3496,1,0,2,0,1,4,Y,Y,,,Y,Y,,Y,"확인오류: show ha session(wrong); 미확인 명령: show bgp summary, show cpu utilization, show interface <interface_name>; 배제 단서 재사용; 3496자>3000","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show ha session(wrong); 미확인 명령: show bgp summary, show cpu utilization, show interface <interface_name>; 배제 단서 재사용; 3496자>3000]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"핵심 단서를 무시하거나 배제/모순 원인을 첫 조치·주요 결론으로 둠. [확인오류: show ha session(wrong); 미확인 명령: show bgp summary, show cpu utilization, show interface <interface_name>; 배제 단서 재사용; 3496자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [확인오류: show ha session(wrong); 미확인 명령: show bgp summary, show cpu utilization, show interface <interface_name>; 배제 단서 재사용; 3496자>3000]",responses_v3/0920-1516_q07_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q07,1,2286,2,0,2,2,3,9,,Y,,,,,,Y,"미확인 명령: junos# show routing-instance, show interface, show ip bgp","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: junos# show routing-instance, show interface, show ip bgp]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: junos# show routing-instance, show interface, show ip bgp]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: junos# show routing-instance, show interface, show ip bgp]",responses_v3/0920-1516_q07_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q07,2,1648,2,1,2,0,3,8,,Y,,,,Y,,Y,"미확인 명령: show hsrp, show lacp neighbor, show pagp neighbor; 배제 단서 재사용","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show hsrp, show lacp neighbor, show pagp neighbor; 배제 단서 재사용]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"핵심 단서를 무시하거나 배제/모순 원인을 첫 조치·주요 결론으로 둠. [미확인 명령: show hsrp, show lacp neighbor, show pagp neighbor; 배제 단서 재사용]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: show hsrp, show lacp neighbor, show pagp neighbor; 배제 단서 재사용]",responses_v3/0920-1516_q07_llama3.1_8b_run2.md
0920-1545,luna,q07,1,2461,2,3,3,3,0,11,,Y,,Y,,,,Y,"미확인 명령: show cdp neighbors detail, show switch, show switch stack-ports summary; 토큰한도 종료","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show cdp neighbors detail, show switch, show switch stack-ports summary; 토큰한도 종료]",불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: show cdp neighbors detail, show switch, show switch stack-ports summary; 토큰한도 종료]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: show cdp neighbors detail, show switch, show switch stack-ports summary; 토큰한도 종료]",responses_luna_v2/0920-1545_q07_luna_run1.md
0920-1516,qwen3:8b,q07,1,1849,1,0,3,1,3,8,Y,Y,,,,Y,,Y,확인오류: show redundancy detail(wrong); 미확인 명령: show interface [port]; 배제 단서 재사용,검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show redundancy detail(wrong); 미확인 명령: show interface [port]; 배제 단서 재사용],미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: show redundancy detail(wrong); 미확인 명령: show interface [port]; 배제 단서 재사용],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show redundancy detail(wrong); 미확인 명령: show interface [port]; 배제 단서 재사용],responses_v3/0920-1516_q07_qwen3_8b_run1.md
0920-1516,qwen3:8b,q07,2,1736,1,0,3,1,3,8,Y,Y,,,,Y,,Y,"확인오류: show chassis fpc redundancy(wrong), show redundancy detail(wrong); 미확인 명령: show cdp neighbor, show ip bgp summary, show ip interface brief; 배제 단서 재사용","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show chassis fpc redundancy(wrong), show redundancy detail(wrong); 미확인 명령: show cdp neighbor, show ip bgp summary, show ip interface brief; 배제 단서 재사용]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: show chassis fpc redundancy(wrong), show redundancy detail(wrong); 미확인 명령: show cdp neighbor, show ip bgp summary, show ip interface brief; 배제 단서 재사용]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show chassis fpc redundancy(wrong), show redundancy detail(wrong); 미확인 명령: show cdp neighbor, show ip bgp summary, show ip interface brief; 배제 단서 재사용]",responses_v3/0920-1516_q07_qwen3_8b_run2.md
0920-1516,gemma3:4b,q08,1,3550,3,1,2,1,1,8,,,,,Y,,Y,,관측 단서와 모순; 3550자>3000,확인된 명령·설정·사실 오류와 남은 미확인 항목이 보이지 않음. [관측 단서와 모순; 3550자>3000],일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [관측 단서와 모순; 3550자>3000],3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [관측 단서와 모순; 3550자>3000],responses_v3/0920-1516_q08_gemma3_4b_run1.md
0920-1516,gemma3:4b,q08,2,4005,0,0,2,1,1,4,Y,Y,Y,,Y,,Y,Y,"벤더 혼용/타벤더 명령; 미확인 명령: show crypto ipsec log, show crypto isakmp log, show crypto isakmp sa; 관측 단서와 모순; 4005자>3000","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: show crypto ipsec log, show crypto isakmp log, show crypto isakmp sa; 관측 단서와 모순; 4005자>3000]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [벤더 혼용/타벤더 명령; 미확인 명령: show crypto ipsec log, show crypto isakmp log, show crypto isakmp sa; 관측 단서와 모순; 4005자>3000]","3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [벤더 혼용/타벤더 명령; 미확인 명령: show crypto ipsec log, show crypto isakmp log, show crypto isakmp sa; 관측 단서와 모순; 4005자>3000]",responses_v3/0920-1516_q08_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q08,1,1608,0,0,2,2,3,7,Y,Y,Y,,,,,Y,벤더 혼용/타벤더 명령; 미확인 명령: show vpn ipsec tunnel,핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: show vpn ipsec tunnel],미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [벤더 혼용/타벤더 명령; 미확인 명령: show vpn ipsec tunnel],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [벤더 혼용/타벤더 명령; 미확인 명령: show vpn ipsec tunnel],responses_v3/0920-1516_q08_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q08,2,2200,2,0,1,0,3,6,,Y,,,,,Y,Y,"미확인 명령: config vpn ike, config vpn ipsec, set vpn ike policy; 관측 단서와 모순","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: config vpn ike, config vpn ipsec, set vpn ike policy; 관측 단서와 모순]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,일반론·반복이 우세하여 상황 특화 진단의 밀도가 낮음.,"핵심 단서를 무시하거나 배제/모순 원인을 첫 조치·주요 결론으로 둠. [미확인 명령: config vpn ike, config vpn ipsec, set vpn ike policy; 관측 단서와 모순]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: config vpn ike, config vpn ipsec, set vpn ike policy; 관측 단서와 모순]",responses_v3/0920-1516_q08_llama3.1_8b_run2.md
0920-1516,qwen3:8b,q08,1,2033,1,0,2,1,3,7,Y,Y,,,,,Y,,"확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong); 미확인 명령: diag debug application vpn 3, get system status; 관측 단서와 모순","검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong); 미확인 명령: diag debug application vpn 3, get system status; 관측 단서와 모순]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong); 미확인 명령: diag debug application vpn 3, get system status; 관측 단서와 모순]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong); 미확인 명령: diag debug application vpn 3, get system status; 관측 단서와 모순]",responses_v3/0920-1516_q08_qwen3_8b_run1.md
0920-1516,qwen3:8b,q08,2,2093,0,0,2,1,3,6,Y,Y,,,,,,,"확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong), show vpn ike sa(wrong); 미확인 명령: diag debug application vpn 3, execute show vpn tunnel","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong), show vpn ike sa(wrong); 미확인 명령: diag debug application vpn 3, execute show vpn tunnel]",미확인·추측 내용을 사실처럼 제시하고 확인 필요 표시가 부족함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 언급하나 이미 배제된 원인이나 일반 점검을 다시 섞음. [확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong), show vpn ike sa(wrong); 미확인 명령: diag debug application vpn 3, execute show vpn tunnel]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: diagnose vpn ipsec sa list(wrong), diagnose vpn ike sa list(wrong), show vpn ike sa(wrong); 미확인 명령: diag debug application vpn 3, execute show vpn tunnel]",responses_v3/0920-1516_q08_qwen3_8b_run2.md
0920-1516,gemma3:4b,q09,1,3653,2,2,3,3,1,11,,Y,,,Y,,,,미확인 명령: show transceiver detail <interface_name>; 3653자>3000,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show transceiver detail <interface_name>; 3653자>3000],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: show transceiver detail <interface_name>; 3653자>3000],3000자 초과 또는 핵심 요구/지시 위반이 있어 완결성이 낮음. [미확인 명령: show transceiver detail <interface_name>; 3653자>3000],responses_v3/0920-1516_q09_gemma3_4b_run1.md
0920-1516,gemma3:4b,q09,2,3823,2,1,3,2,0,8,,Y,,,Y,,,,"미확인 명령: show optical detail <interface_name>, show transceiver detail <interface_name>; 토큰한도 종료; 3823자>3000","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show optical detail <interface_name>, show transceiver detail <interface_name>; 토큰한도 종료; 3823자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: show optical detail <interface_name>, show transceiver detail <interface_name>; 토큰한도 종료; 3823자>3000]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: show optical detail <interface_name>, show transceiver detail <interface_name>; 토큰한도 종료; 3823자>3000]",responses_v3/0920-1516_q09_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q09,1,1657,2,1,3,3,3,12,,Y,,,,,,,주요 자동/수동 오류 신호 없음,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [주요 자동/수동 오류 신호 없음],일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [주요 자동/수동 오류 신호 없음],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [주요 자동/수동 오류 신호 없음],responses_v3/0920-1516_q09_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q09,2,1797,2,2,3,3,3,13,,Y,,,,,,,미확인 명령: show interface,확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show interface],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: show interface],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: show interface],responses_v3/0920-1516_q09_llama3.1_8b_run2.md
0920-1545,luna,q09,1,2385,3,3,3,3,0,12,,Y,,,,,,,"미확인 명령: administratively down, err-disabled; 토큰한도 종료","확인된 명령·설정·사실 오류와 남은 미확인 항목이 보이지 않음. [미확인 명령: administratively down, err-disabled; 토큰한도 종료]",불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: administratively down, err-disabled; 토큰한도 종료]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: administratively down, err-disabled; 토큰한도 종료]",responses_luna_v2/0920-1545_q09_luna_run1.md
0920-1516,qwen3:8b,q09,1,2385,1,2,3,3,3,12,Y,Y,,,,,,,확인오류: show sfp(wrong); 미확인 명령: show interface [interface-id],검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show sfp(wrong); 미확인 명령: show interface [interface-id]],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [확인오류: show sfp(wrong); 미확인 명령: show interface [interface-id]],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show sfp(wrong); 미확인 명령: show interface [interface-id]],responses_v3/0920-1516_q09_qwen3_8b_run1.md
0920-1516,qwen3:8b,q09,2,2042,1,2,3,3,3,12,Y,Y,,,,,,,확인오류: show sfp(wrong); 미확인 명령: show interface [interface],검증 목록/정답키 기준 확인 오류가 1~2개 있음. [확인오류: show sfp(wrong); 미확인 명령: show interface [interface]],불확실 항목을 표시했지만 확인 방법이 충분히 구체적이지 않음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [확인오류: show sfp(wrong); 미확인 명령: show interface [interface]],요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [확인오류: show sfp(wrong); 미확인 명령: show interface [interface]],responses_v3/0920-1516_q09_qwen3_8b_run2.md
0920-1516,gemma3:4b,q10,1,3854,0,1,3,3,0,7,Y,Y,Y,,Y,,,Y,"벤더 혼용/타벤더 명령; 미확인 명령: request system configuration save, show configuration spanning-tree, show configuration vlan <VLAN ID>; 토큰한도 종료; 3854자>3000","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: request system configuration save, show configuration spanning-tree, show configuration vlan <VLAN ID>; 토큰한도 종료; 3854자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [벤더 혼용/타벤더 명령; 미확인 명령: request system configuration save, show configuration spanning-tree, show configuration vlan <VLAN ID>; 토큰한도 종료; 3854자>3000]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [벤더 혼용/타벤더 명령; 미확인 명령: request system configuration save, show configuration spanning-tree, show configuration vlan <VLAN ID>; 토큰한도 종료; 3854자>3000]",responses_v3/0920-1516_q10_gemma3_4b_run1.md
0920-1516,gemma3:4b,q10,2,3882,0,1,3,3,0,7,Y,Y,Y,,Y,,,Y,"벤더 혼용/타벤더 명령; 미확인 명령: show, show VLAN brief, show interface <트렁크 인터페이스> campaign; 토큰한도 종료; 3882자>3000","핵심 절차의 벤더 명령 혼용 또는 다수/중대한 확인 오류가 있음. [벤더 혼용/타벤더 명령; 미확인 명령: show, show VLAN brief, show interface <트렁크 인터페이스> campaign; 토큰한도 종료; 3882자>3000]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [벤더 혼용/타벤더 명령; 미확인 명령: show, show VLAN brief, show interface <트렁크 인터페이스> campaign; 토큰한도 종료; 3882자>3000]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [벤더 혼용/타벤더 명령; 미확인 명령: show, show VLAN brief, show interface <트렁크 인터페이스> campaign; 토큰한도 종료; 3882자>3000]",responses_v3/0920-1516_q10_gemma3_4b_run2.md
0920-1516,llama3.1:8b,q10,1,1974,2,1,3,2,3,11,,Y,,,,,,,"미확인 명령: show interface <interface_name> switchport, show mac-table | match <VLAN_ID>","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show interface <interface_name> switchport, show mac-table | match <VLAN_ID>]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: show interface <interface_name> switchport, show mac-table | match <VLAN_ID>]","요구 항목을 대체로 모두 충족하고 3000자 이내에서 정상 종료함. [미확인 명령: show interface <interface_name> switchport, show mac-table | match <VLAN_ID>]",responses_v3/0920-1516_q10_llama3.1_8b_run1.md
0920-1516,llama3.1:8b,q10,2,1951,2,1,2,2,2,9,,Y,,,,,,,"미확인 명령: show interface <interface> switchport, show mac-table","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show interface <interface> switchport, show mac-table]",일반적인 면책 문구는 있으나 일부 미확인 내용을 단정적으로 제시함.,상황 특화 내용이 절반 이상이지만 일반론/중복이 섞여 있음.,"단서를 활용해 우선순위를 정하지만 가설/배제 기준이 다소 약함. [미확인 명령: show interface <interface> switchport, show mac-table]","정상 종료했지만 요구 항목 일부가 약하거나 경미한 누락이 있음. [미확인 명령: show interface <interface> switchport, show mac-table]",responses_v3/0920-1516_q10_llama3.1_8b_run2.md
0920-1545,luna,q10,1,2879,2,3,3,3,0,11,,Y,,,,,,Y,"미확인 명령: show configuration vlans, show configuration | display set, show configuration | display set | save /var/tmp/pre-migration.set; 토큰한도 종료","확인 오류로 확정할 근거는 부족하지만 미등록/미확인 명령·주장이 남아 있음. [미확인 명령: show configuration vlans, show configuration | display set, show configuration | display set | save /var/tmp/pre-migration.set; 토큰한도 종료]",불확실 항목을 구체적으로 표시하고 확인 방법까지 제시했거나 미확인 주장이 없음.,대부분이 주어진 증상·장비·관측 결과에 직접 연결되어 정보 밀도가 높음.,"단서로 우선순위를 정하고 구체적 가설과 확인·배제 기준까지 제시함. [미확인 명령: show configuration vlans, show configuration | display set, show configuration | display set | save /var/tmp/pre-migration.set; 토큰한도 종료]","토큰 한도로 잘려 답변이 미완성 상태로 종료됨. [미확인 명령: show configuration vlans, show configuration | display set, show configuration | display set | save /var/tmp/pre-migration.set; 토큰한도 종료]",responses_luna_v2/0920-1545_q10_luna_run1.md
